,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,mahalanobis,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
211,3,post-doc,34,male,3,scientific/science,scientific/science,center,543.7903087680565,2,parent,40,female,2
212,3,post-doc,34,male,3,scientific/science,scientific/science,center,580.7143198713667,3,post-doc,34,male,3
213,3,post-doc,34,male,3,scientific/science,scientific/science,university,521.5780059505632,0,enrollee,18,female,1
214,3,post-doc,34,male,3,scientific/science,scientific/science,university,650.0915406491825,1,graduate,25,male,2
215,3,post-doc,34,male,3,scientific/science,scientific/science,university,685.146839314379,2,parent,40,female,2
216,3,post-doc,34,male,3,scientific/science,scientific/science,university,499.1740756508215,3,post-doc,34,male,3
217,3,post-doc,34,male,3,scientific/science,scientific/science,scientific/science,497.39709691466066,0,enrollee,18,female,1
218,3,post-doc,34,male,3,scientific/science,scientific/science,scientific/science,976.3502615578418,1,graduate,25,male,2
219,3,post-doc,34,male,3,scientific/science,scientific/science,scientific/science,522.9936255100504,2,parent,40,female,2
220,3,post-doc,34,male,3,scientific/science,scientific/science,educational/education,528.7690142521667,0,enrollee,18,female,1
221,3,post-doc,34,male,3,scientific/science,scientific/science,educational/education,504.7567517684309,1,graduate,25,male,2
222,3,post-doc,34,male,3,scientific/science,scientific/science,educational/education,445.88503322065367,2,parent,40,female,2
223,3,post-doc,34,male,3,scientific/science,scientific/science,educational/education,664.8997613637343,3,post-doc,34,male,3
224,3,post-doc,34,male,3,scientific/science,scientific/science,program,704.2130460356232,0,enrollee,18,female,1
225,3,post-doc,34,male,3,scientific/science,scientific/science,program,642.2649160447057,1,graduate,25,male,2
226,3,post-doc,34,male,3,scientific/science,scientific/science,program,659.5334187043204,2,parent,40,female,2
227,3,post-doc,34,male,3,scientific/science,scientific/science,program,630.4377915171401,3,post-doc,34,male,3
228,0,enrollee,18,female,1,educational/education,educational/education,center,621.2234948344424,0,enrollee,18,female,1
